Pathways	Genes of pathway
adenine and adenosine salvage V	deoD // ppnP // yfiH // add // gsk
trehalose degradation VI (periplasmic)	treA
L-glutamate biosynthesis I	gltB // gltD // pabA // pabB // trpD // trpE
pyrimidine nucleobases salvage I	upp
superpathway of acetate utilization and formation	acs // ackA // pta // eutD
UMP biosynthesis I	carA // carB // pyrI // pyrB // pyrC // pyrE // pyrF // pyrD
<i>trans, trans</i>-farnesyl diphosphate biosynthesis	ispA
methylglyoxal degradation III	gpr // dkgB // dkgA // yeaE // yqhD // gldA
coenzyme A biosynthesis I (bacteria)	coaD // coaE // dfp
pyruvate fermentation to (<i>R</i>)-lactate	ldhA
pyrimidine deoxyribonucleosides degradation	cdd // deoA // ppnP
Rcs Signal Transduction System	rcsC // rcsB // rcsD
L-proline biosynthesis I (from L-glutamate)	proC // proA // proB
D-allose degradation	rpiB // alsE // alsK
superpathway of L-asparagine biosynthesis	asnA // asnB
L-asparagine biosynthesis II	asnA // asnB
biotin biosynthesis I	bioH // fabF // fabB // fabI // fabZ // fabG // bioC // bioF // bidA // bioD // bioA // bioB // acpP // thiS // fdx
L-asparagine degradation I	ansB // ansA // iaaA
superpathway of L-tyrosine biosynthesis	aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD // tyrB // aspC // pheA // tyrA
fructose degradation	fruK
siroheme biosynthesis	cysG
lipoate salvage I	lplA
acetoacetate degradation (to acetyl CoA)	atoB // atoD // atoA // ydiF
D-gulosides conversion to D-glucosides	ycjS // ycjR // ycjQ
<i>S</i>-adenosyl-L-methionine salvage I	mtn // luxS // metH // metE // metK
L-lysine degradation I	cadA // ldcC // patA // patD // sad // gabD // puuE // gabT // glaH // lhgD
glutathionylspermidine biosynthesis	gss
D-arabinose degradation II	fucI // fucK // fucA // aldA
EvgSA Two-Component Signal Transduction System	evgA // evgS
superpathway of guanine and guanosine salvage	gpt // hpt // deoD // xapA // ppnP // gsk
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	lpxB // lpxK // lpxH // lpxD // lpxC // lpxA // acpP
pyrimidine nucleobases salvage II	codA // upp
L-histidine biosynthesis	hisD // hisC // hisB // hisF // hisH // hisA // hisI // hisG
4-hydroxybenzoate biosynthesis II (bacteria)	ubiC
D-gluconate degradation	idnK // gntK
RstBA Two-Component Signal Transduction System	rstA // rstB
BtsSR Two-Component Signal Transduction System	btsR // btsS
superoxide radicals degradation	sodA // sodB // sodC // katE // katG // adeD
&beta;-alanine biosynthesis III	panD
periplasmic disulfide bond formation	dsbB // dsbA
superpathway of phenylethylamine degradation	tynA // feaB // paaH // paaB // paaC // paaA // paaE // paaJ // paaG // paaZ // paaK // paaF
L-lactaldehyde degradation (aerobic)	aldA // lldD
CDP-diacylglycerol biosynthesis I	cdsA // plsC // plsB // gpsA
ppGpp metabolism	gpp // apaH // relA // spoT // ndk // adk
superpathway of hexuronide and hexuronate degradation	uxaA // uxaB // uxuB // uxuA // kdgK // eda // uxaC // uidA
colanic acid building blocks biosynthesis	gmd // fcl // kduI // pgi // manA // cpsG // cpsB // galU // pgm // galE // ugd
UTP and CTP <i>de novo</i> biosynthesis	pyrH // ndk // adk // pyrG
4-aminobenzoate biosynthesis I	pabA // pabB // pabC
trehalose degradation II (cytosolic)	treF // glk
NAD phosphorylation and dephosphorylation	nadK // pntA // pntB
D-serine degradation	dsdA // glyA // ridA
glycogen biosynthesis I (from ADP-D-Glucose)	glgA // glgB // glgC // pgm
L-aspartate biosynthesis	aspC
ethylene glycol degradation	aldA // fucO
superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	hemN // hemE // hemH // hemF // hemG
flavin biosynthesis I (bacteria and plants)	ribF // ribC // ribE // ybjI // yigB // ribB // ribD // ribA
ethanolamine utilization	eutC // eutB // eutE // mhpF // pta // eutD // ackA // purT // adhE // adhP
superpathway of pyrimidine deoxyribonucleosides degradation	cdd // deoA // ppnP // deoB // deoC // eutE // adhE // mhpF
lipoate biosynthesis and incorporation II	lipA // lplA // fdx
allantoin degradation to ureidoglycolate II (ammonia producing)	allB // allC // allE // allW
<i>N</i>-acetylglucosamine degradation I	nagB // nagA
spermidine biosynthesis I	speE // speD
superpathway of L-aspartate and L-asparagine biosynthesis	aspC // asnA // asnB // ansB // ansA // iaaA // aspA
prenylated FMNH<sub>2</sub> biosynthesis	nudF // nudJ // thiM // ubiX
superpathway of L-arginine and L-ornithine degradation	adiA // speB // sad // gabD // speF // patD // patA // puuD // puuC // puuB // puuA
tetrahydromonapterin biosynthesis	folM // folX // folE
4-aminobutanoate degradation I	puuE // sad // puuC
acyl carrier protein metabolism	acpH // acpS // acpT // acpP // entF // entB
pyruvate fermentation to acetate IV	grcA // tdcE // pflB // ackA // pta // eutD
two-component alkanesulfonate monooxygenase	ssuE // ssuD
PyrSR Two-Component Signal Transduction System	pyrS // pyrR
UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	wecC
adenosylcobinamide-GDP salvage from cobinamide I	cobU // btuR
putrescine biosynthesis III	speC
L-carnitine degradation I	caiA // caiB // caiC // caiD // caiT
CpxAR Two-Component Signal Transduction System	cpxA // cpxR
superpathway of adenosylcobalamin salvage from cobinamide I	cobS // cobC // cobT // cobU // btuR
KdpDE Two-Component Signal Transduction System, potassium-dependent	kdpE // kdpD
CreCB Two-Component Signal Transduction System	creB // creC
adenosine nucleotides degradation II	deoD // xapA // ppnP // yfiH // add // xdhC // xdhB // xdhA // aphA // umpH // umpG // ushA // phoA
L-lactaldehyde degradation (anaerobic)	fucO
folate polyglutamylation	glyA // folC
methylphosphonate degradation I	phnI // phnM // phnJ // phnP // phnN
<i>cis</i>-vaccenate biosynthesis	tesA // fabF // fabB // fabG // fabZ // fabI // acpP
pyruvate fermentation to ethanol I	grcA // tdcE // pflB // eutE // mhpF // adhE // adhP
D-malate degradation	dmlA
3-dehydroquinate biosynthesis I	aroB // aroG // aroH // aroF
ZraSR Two-Component Signal Transduction System	zraR // zraS
guanosine nucleotides degradation III	guaD // aphA // umpH // umpG // yrfG // xdhC // xdhB // xdhA // deoD // xapA // ppnP
D-xylose degradation I	xylB // xylA
aerotaxis signal transduction	cheY // cheA
enterobacterial common antigen biosynthesis	rffM // wecF // wecA // wzxE // wzyE
L-alanine biosynthesis II	alaA // alaC
putrescine degradation I	patD // puuC // patA
ArcAB Two-Component Signal Transduction System, quinone dependent	arcA // arcB
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	pdxK // pdxY // pdxI // pdxH // epd // dxs // pdxJ // pdxB // serC // pdxA
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)	lpxL // lpxM // acpP
Entner-Doudoroff shunt	eda // edd
uracil degradation III	rutD // rutC // rutE // ydfG // rutB // rutA
L-threonine degradation IV	ltaE // eutE // adhE // mhpF
arginine dependent acid resistance	adiA
superpathway of fatty acid biosynthesis initiation	fabD // accD // accA // fabF // fabB // fabH // acpP
&beta;-D-glucuronide and D-glucuronate degradation	uxaC // uidA
adenosine nucleotides degradation III	amn // ppnN
D-mannose degradation I	manA // manX // manY // manZ
L-rhamnose degradation I	rhaD // rhaB // rhaA // rhaM
superpathway of sulfate assimilation and cysteine biosynthesis	cysH // cysI // cysJ // cysE // cysK // cysM // cysN // cysD // cysC // serC // serB // ydiJ // serA // trxC // trxA
D-sorbitol degradation II	srlD
superpathway of arginine and polyamine biosynthesis	cadA // ldcC // speE // speD // speC // speA // speB // argG // argH // argI // argF // carA // carB // argA // argB // argC // argD // gabT // argE
L-selenocysteine biosynthesis I (bacteria)	selD // selA // serS // selC
thioredoxin pathway	trxB // trxC // trxA
adenosylcobalamin salvage from cobalamin	btuR
<i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis	cfa
glycerol degradation I	glpK // glpD // glpC // glpB // glpA
pyruvate to cytochrome <i>bd</i> oxidase electron transfer	poxB // cydH // cydX // cydB // cydA
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	nrdB // nrdA // nrdD // nrdF // nrdE // ndk // adk // trxC // trxA // nrdH
glutathione biosynthesis	gshA // gshB
putrescine degradation II	puuD // puuC // puuB // puuA
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	nrdB // nrdA // nrdF // nrdE // ndk // nrdD // trxC // trxA // nrdH
NarX Two-Component Signal Transduction System, nitrate dependent	narP // narX // narL
D-galactose degradation I (Leloir pathway)	pgm // galM // galE // galT // galK
2-methylcitrate cycle I	acs // prpE // prpC // prpD // acnB // prpB
superpathway of L-phenylalanine biosynthesis	aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD // tyrB // aspC // ilvE // pheA // tyrA
ammonia assimilation cycle III	glnA // pyrG // guaA // hisF // hisH // gltB // gltD // pabA // pabB // trpD // trpE // asnB // carA // carB // glsB // glsA
curcumin degradation	curA
CMP phosphorylation	cmk // ndk // adk
L-serine biosynthesis	serC // serB // ydiJ // serA
molybdopterin biosynthesis	moaA // moaE // moaD // moeB // ynjE // moaC
ubiquinol-8 biosynthesis (early decarboxylation)	ubiF // ubiE // ubiH // ubiG // ubiI // ubiD // ubiA
guanine and guanosine salvage I	gpt // hpt // deoD // xapA // ppnP
glutathione-glutaredoxin redox reactions	dsbA // grxC // nrdH // grxB // grxA
<i>D</i>-glucarate degradation I	garL // garR // gudD // garK // glxK
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	hcaE // hcaF // hcaD // hcaC // mhpB // mhpC // hcaB // mhpA
superpathway of coenzyme A biosynthesis I (bacteria)	panC // panE // ilvC // panB // coaA // coaD // coaE // dfp // panD
mannitol degradation I	mtlD
succinate to cytochrome <i>bd</i> oxidase electron transfer	sdhD // sdhC // sdhB // sdhA // cydH // cydX // cydB // cydA
NADH to dimethyl sulfoxide electron transfer	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // dmsC // dmsB // dmsA
methylglyoxal degradation IV	aldA // lldD
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	mhpC // mhpB // mhpA // hcaB // hcaE // hcaF // hcaD // hcaC
citrate degradation	citE // citF // citD
phosphopantothenate biosynthesis I	panC // panE // ilvC // panB // coaA
pentose phosphate pathway (non-oxidative branch) I	talB // talA // tktA // tktB // rpe // rpiB // rpiA
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	cobS // cobC // cobT
superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	thrB // thrC // aspC // dapF // lysA // dapE // argD // serC // dapD // dapA // asd // lysC // dapB // metA // metE // metB // metH // metC // malY
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	purF // purD // purL // purM // purT // purC // purH // purE // purK // guaB // guaA // gmk // purA // purB // adk // nrdB // nrdA // nrdF // nrdE // ndk // nrdD // trxC // trxA // nrdH
sulfate activation for sulfonation	cysN // cysD // cysC
glycolate and glyoxylate degradation II	glcB // glcF // glcE // glcD
tetrahydrofolate biosynthesis I	folP // folC // folA // folM
trehalose biosynthesis I	otsA // phoA // otsB
peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	ftsW // mrdB // mtgA // pbpC // dacB // ampH // yfeW // dacC // dacD // dacA // ldtE // mrdA // ftsI // mrcB // mrcA // mepH // mepS // ldtD
thiosulfate disproportionation IV (rhodanese)	glpE // pspE // sseA // ygaP
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	speA // adiA // speB
N-end rule pathway I (prokaryotic)	aat // leuP // leuX // leuV // leuW // leuT // leuQ // leuZ // leuU
polycistronic tRNA processing III	rne // rnpA // rnpB // rbn // rnd // rnt // rph
pyridoxal 5'-phosphate salvage I	pdxH // pdxK // pdxY // pdxI
superpathway of menaquinol-8 biosynthesis I	ispB // menE // menC // menF // menD // menH // menB // menI // ubiE // menA
pyruvate to cytochrome <i>bo</i> oxidase electron transfer	poxB // cyoC // cyoB // cyoA // cyoD
trehalose degradation I (low osmolarity)	treC // glk
superpathway of glyoxylate bypass and TCA	aceB // aceA // maeA // mdh // fumC // fumB // fumA // fumD // fumE // sucC // sucD // lpd // sucB // sucA // icd // gltA // acnA // acnB // sdhD // sdhC // sdhB // sdhA // mqo
putrescine biosynthesis I	speA // speB
periplasmic disulfide bond reduction	trxA // dsbD
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	mazG // dut // nudI // thyA // tmk // nrdF // nrdE // nrdB // nrdA // carA // carB // pyrI // pyrB // pyrC // pyrE // pyrF // pyrD // pyrH // ndk // adk // pyrG // trxC // trxA
citrate lyase activation	citX // citG // citC // citE // citF // citD
TorTSR Signal Transduction System, TMAO dependent	torR // torS
glycogen degradation I	malQ // glgP // glgX // malZ // pgm // glk // malP
8-amino-7-oxononanoate biosynthesis I	bioH // fabF // fabB // fabI // fabZ // fabG // bioC // bioF // acpP
sulfoquinovose degradation I	yihT // yihU // yihV // yihS
assimilatory sulfate reduction I	cysH // cysI // cysJ // cysN // cysD // cysC // trxC // trxA
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	mngB // garK // glxK
hydrogen to dimethyl sulfoxide electron transfer	dmsC // dmsB // dmsA // hybC // hybO // hybB // hybA
cardiolipin biosynthesis III	pgsA // pgpA // pgpB // pgpC // clsC
thiamine diphosphate biosynthesis I (E. coli)	thiL // thiE
superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	puuD // puuB // puuA // adiA // speB // sad // gabD // patD // puuC // patA
phenylethylamine degradation I	tynA // feaB
glycolysis I (from glucose 6-phosphate)	crr // ptsG // manX // manY // manZ // gpmA // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // ppsA // kduI // pgi // pfkB // pfkA // fbaA // fbaB // tpiA // gapA // pgk // gpmM // eno // pykA // pykF
superpathway of branched chain amino acid biosynthesis	leuB // dmlA // tyrB // leuA // leuD // leuC // ilvD // ilvE // ilvC // ilvH // ilvI // ilvM // ilvG // ilvA // ridA
Superpathway of polycistronic tRNA processing (<i>E. coli</i>)	pcnB // rbn // rnd // rnt // rph // rnpA // rnpB // pnp // rnb
proline to cytochrome <i>bo</i> oxidase electron transfer	putA // cyoC // cyoB // cyoA // cyoD
pyruvate decarboxylation to acetyl CoA I	lpd // aceF // aceE
L-asparagine biosynthesis I	asnB
NAD salvage pathway IV (from nicotinamide riboside)	nadR
conversion of succinate to propanoate	scpA // scpB // scpC
fatty acid biosynthesis initiation II	fabF // fabB // fabH // acpP
lipoprotein posttranslational modification (Gram-negative bacteria)	lgt // lnt // lspA // sppA // rseP // lolB // lolC // lolD // lolE // lolA
pyrimidine ribonucleosides salvage II	cdd // rihC // rihA // rihB
glycerol and glycerophosphodiester degradation	glpK // glpQ // ugpQ // glpD // glpC // glpB // glpA
autoinducer AI-2 degradation	lsrF // lsrK // lsrG
L-alanine biosynthesis I	ilvE // avtA
NADH to cytochrome <i>bo</i> oxidase electron transfer II	ndh // cyoC // cyoB // cyoA // cyoD
